name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
CYCOFOS TV2,,,,,FR,62,Other or unspecified energy sources,,,2009,,43.42801,4.88652,17W100P100P0352E,Other or unspecified energy sources,,,,,RTE
PROVENCE 4 BIOMASSE,,,,,FR,150,Biomass and biogas,,,,,43.42801,4.88652,17W100P100P03647,Renewable energy,Bioenergy,Biomass and biogas,,Commissioning year not reported due to duplicate entries,RTE
CORDEMAIS 4,,,,,FR,580,Hard coal,Steam turbine,,,,47.27712,-1.88012,17W100P100P0236G,Fossil fuels,Hard coal,,,,RTE
CORDEMAIS 5,,,,,FR,580,Hard coal,Steam turbine,,,,47.27712,-1.88012,17W100P100P0237E,Fossil fuels,Hard coal,,,,RTE
EMILE HUCHET 6,,,,,FR,595,Hard coal,Steam turbine,,1981,,49.15412,6.7047,17W100P100P0343F,Fossil fuels,Hard coal,,,,RTE
HAVRE 4,,,,,FR,580,Hard coal,Steam turbine,,,,49.47553,0.14711,17W100P100P0238C,Fossil fuels,Hard coal,,,,RTE
PROVENCE 5,,,,,FR,595,Hard coal,Steam turbine,,1984,,46.46883,5.48957,17W100P100P03469,Fossil fuels,Hard coal,,,,RTE
ARRIGHI 1,,,,,FR,125,Oil,,,,,48.79151,2.41593,17W100P100P0255C,Fossil fuels,Oil,,,,RTE
ARRIGHI 2,,,,,FR,129,Oil,,,,,48.79151,2.41593,17W100P100P0256A,Fossil fuels,Oil,,,,RTE
BRENNILIS 1,,,,,FR,85,Oil,,,,,48.35702,-3.87053,17W100P100P02586,Fossil fuels,Oil,,,,RTE
BRENNILIS 2,,,,,FR,85,Oil,,,,,48.35702,-3.87053,17W100P100P0260J,Fossil fuels,Oil,,,,RTE
BRENNILIS 3,,,,,FR,134,Oil,,,,,48.35702,-3.87053,17W100P100P0261H,Fossil fuels,Oil,,,,RTE
CORDEMAIS 3,,,,,FR,0,Oil,,,,,47.27712,-1.88012,17W100P100P0250M,Fossil fuels,Oil,,,Commissioning year not reported due to duplicate entries,RTE
DIRINON 1,,,,,FR,85,Oil,,,,,48.39036,-4.26373,17W100P100P0263D,Fossil fuels,Oil,,,,RTE
DIRINON 2,,,,,FR,85,Oil,,,,,48.39036,-4.26373,17W100P100P02659,Fossil fuels,Oil,,,,RTE
MONTEREAU 5,,,,,FR,185,Oil,,,,,48.38045,2.85108,17W100P100P0270G,Fossil fuels,Oil,,,,RTE
MONTEREAU 6,,,,,FR,185,Oil,,,,,48.38045,2.85108,17W100P100P0271E,Fossil fuels,Oil,,,,RTE
VAIRES 1,,,,,FR,181,Oil,,,,,48.87349,2.65533,17W100P100P02675,Fossil fuels,Oil,,,,RTE
VAIRES 2,,,,,FR,179,Oil,,,,,48.87349,2.65533,17W100P100P02683,Fossil fuels,Oil,,,,RTE
VAIRES 3,,,,,FR,182,Oil,,,,,48.87349,2.65533,17W100P100P02691,Fossil fuels,Oil,,,,RTE
AMFARD14,,,,,FR,130,Natural gas,,,2004,,43.42801,4.88652,17W100P100P0353C,Fossil fuels,Natural gas,,,,RTE
AMFARD15,,,,,FR,130,Natural gas,,,2004,,43.42801,4.88652,17W100P100P03493,Fossil fuels,Natural gas,,,,RTE
BLENOD 5,,,,,FR,427,Natural gas,,,,,48.86959,6.08377,17W100P100P0243J,Fossil fuels,Natural gas,,,,RTE
BOUCHAIN 7,,,,,FR,585,Natural gas,,,2017,,50.29774,3.31429,17W100P100P0244H,Fossil fuels,Natural gas,,,,RTE
COMBIGOLFE,,,,,FR,425,Natural gas,,,2010,,43.41616,4.86974,17W100P100P0337A,Fossil fuels,Natural gas,,,,RTE
CYCOFOS,,,,,FR,428,Natural gas,,,2009,,43.42801,4.88652,17W100P100P0351G,Fossil fuels,Natural gas,,,,RTE
Croix-de-Metz,,,,,FR,413,Natural gas,,,2012,,48.69336,5.91468,17W100P100P0340L,Fossil fuels,Natural gas,,,,RTE
DK6,,,,,FR,796,Natural gas,,,2005,,51.04628,2.31835,17W100P100P0350I,Fossil fuels,Natural gas,,,,RTE
EMILE HUCHET 7,,,,,FR,413,Natural gas,,,2010,,49.15412,6.7047,17W100P100P0344D,Fossil fuels,Natural gas,,,,RTE
EMILE HUCHET 8,,,,,FR,413,Natural gas,,,2010,,49.15412,6.7047,17W100P100P0345B,Fossil fuels,Natural gas,,,,RTE
FR-GA-MORANT1,,,,,FR,401,Natural gas,,,2016,,46.27282,3.30095,17W100P100P0318E,Fossil fuels,Natural gas,,,,RTE
GENNEVILLIERS 1,,,,,FR,203,Natural gas,,,,,48.93699,2.26144,17W100P100P02667,Fossil fuels,Natural gas,,,,RTE
MARTIGUES PONTEAU 5,,,,,FR,465,Natural gas,,,,,43.35822,5.02112,17W100P100P0245F,Fossil fuels,Natural gas,,,,RTE
MARTIGUES PONTEAU 6,,,,,FR,465,Natural gas,,,,,43.35822,5.02112,17W100P100P0246D,Fossil fuels,Natural gas,,,,RTE
Pont-sur-Sambre,,,,,FR,412,Natural gas,,,2009,,50.22915,3.86807,17W100P100P0341J,Fossil fuels,Natural gas,,,,RTE
SPEM,,,,,FR,435,Natural gas,,,2010,,47.30265,-2.14028,17W100P100P0334G,Fossil fuels,Natural gas,,,,RTE
CHEYLAS,,,,,FR,485,Hydro,Pumped storage,,,,45.3846,6.00207,17W100P100P0273A,Renewable energy,Hydro,,,,RTE
COCHE,,,,,FR,320,Hydro,Pumped storage,,,,45.49667,6.51038,17W100P100P02748,Renewable energy,Hydro,,,Commissioning year not reported due to duplicate entries,RTE
GRAND MAISON,,,,,FR,1700,Hydro,Pumped storage,,2017,,45.20597,6.11719,17W100P100P02756,Renewable energy,Hydro,,,,RTE
MONTEZIC,,,,,FR,910,Hydro,Pumped storage,,,,44.73766,2.64342,17W100P100P02772,Renewable energy,Hydro,,,,RTE
REVIN,,,,,FR,808,Hydro,Pumped storage,,,,49.92556,4.61331,17W100P100P02780,Renewable energy,Hydro,,,,RTE
SUPER BISSORTE,,,,,FR,742.3,Hydro,Pumped storage,,,,45.1803,6.5797,17W100P100P02764,Renewable energy,Hydro,,,,RTE
ASTON,,,,,FR,104,Hydro,Run-of-river,,,,42.77668,1.67671,17W100P100P0315K,Renewable energy,Hydro,,,,RTE
AVIGNON,,,,,FR,126,Hydro,Run-of-river,,1973,,43.97606,4.81721,17W100P100P0326F,Renewable energy,Hydro,,,,RTE
BAIX LOGIS NEUF 1,,,,,FR,140,Hydro,Run-of-river,,1960,,44.67605,4.78827,17W100P100P0322N,Renewable energy,Hydro,,,,RTE
BEAUCHASTEL,,,,,FR,198,Hydro,Run-of-river,,1963,,44.82397,4.81049,17W100P100P0321P,Renewable energy,Hydro,,,,RTE
BOURG les VALENCE,,,,,FR,180,Hydro,Run-of-river,,1968,,44.96128,4.87221,17W100P100P0320R,Renewable energy,Hydro,,,,RTE
CADEROUSSE,,,,,FR,156,Hydro,Run-of-river,,1975,,44.09606,4.72329,17W100P100P0325H,Renewable energy,Hydro,,,,RTE
CHASTANG,,,,,FR,293,Hydro,Run-of-river,,,,45.15185,2.00985,17W100P100P0302T,Renewable energy,Hydro,,,,RTE
COUESQUE,,,,,FR,119,Hydro,Run-of-river,,,,44.69609,2.58555,17W100P100P0313O,Renewable energy,Hydro,,,,RTE
