index_number,failures,total_excess_load
1,26.0,472.903495915975
10,26.0,573.0481972912031
10,26.0,474.368545542124
100,27.0,486.0694796509593
1000,25.0,713.9741586984794
1001,26.0,477.19934883083437
1002,26.0,477.6312293437197
1003,27.0,521.8213800663553
1004,26.0,477.1915301657625
1005,26.0,482.0087480678263
1007,26.0,477.4142414685364
1007,26.0,477.38280176242256
1008,26.0,477.6954762845427
1009,26.0,453.9128549548467
101,26.0,486.7762867691971
1010,26.0,477.0548761818685
1011,27.0,528.1562077005611
1012,28.0,513.4860267996717
1013,26.0,494.6084420986604
1014,26.0,495.7339252032711
1015,27.0,527.4795553015462
1016,26.0,494.58724762762705
1017,N/A,N/A
1018,26.0,472.97792213811937
1019,26.0,472.78685455155426
102,26.0,477.3689305609205
1020,26.0,478.65141846259394
1021,26.0,458.5463687605179
1022,26.0,477.60261740778355
1023,26.0,477.3022835706864
1024,26.0,477.3942921725784
1025,26.0,477.15203079744686
1026,26.0,476.7001710408632
1027,26.0,476.6183371018078
1028,27.0,539.7766329173784
1029,27.0,539.7748047846616
103,26.0,476.57448847263345
1030,26.0,479.05290019797025
1031,26.0,477.7993860050366
1032,26.0,477.0643582178275
1033,26.0,477.1080506263215
1034,26.0,471.67968699239395
1035,26.0,449.9824622222112
1036,26.0,471.7950800878657
1037,26.0,476.6538178904728
1038,26.0,478.0447390051335
1039,26.0,477.0783953687388
104,26.0,476.69749856435675
1040,26.0,476.67982916031485
1041,26.0,476.99146396650144
1042,27.0,484.62772794907073
1043,27.0,484.6277279486905
1044,26.0,478.4161301076816
1045,28.0,504.79741289574383
1046,26.0,480.1046763423294
1047,26.0,476.65736854117614
1048,26.0,476.8457465166849
1049,26.0,435.04641183689637
105,26.0,476.6379717975898
1050,26.0,476.84449044561154
1051,26.0,444.8079824499084
1052,26.0,476.8441830072126
1053,26.0,472.5997572173246
1054,26.0,474.8389614238369
1055,26.0,476.7146804642582
1056,26.0,476.3297970392589
1057,26.0,476.32598754583216
1058,27.0,473.4042513780064
1059,26.0,479.85823046546244
106,27.0,506.5269920041191
1060,28.0,548.0458463303651
1061,26.0,477.3756103388745
1062,26.0,477.7989060884742
1063,26.0,483.4907318456446
1064,26.0,480.7303642970245
1065,26.0,477.30023615062584
1066,26.0,477.2792896750537
1067,N/A,N/A
1068,26.0,477.30187929121996
1069,26.0,477.61129570638695
107,26.0,423.9432954723676
1070,26.0,419.44712420048614
1071,26.0,482.9953323176992
1072,26.0,484.9793571045135
1073,26.0,484.7684558940287
1074,26.0,517.3795511150213
1075,26.0,479.0744693438181
1076,26.0,485.10204048664264
1077,26.0,484.7745316079939
1078,26.0,517.4190914643806
1079,26.0,479.1327754525059
108,26.0,478.4915400727207
1080,26.0,440.5403807676471
1081,26.0,466.8072000899797
1082,26.0,452.50676631996953
1083,26.0,476.64312746460536
1084,26.0,476.64392927190835
1085,26.0,476.6489820390892
1086,26.0,476.80546692682225
1087,26.0,477.59062937771006
1089,26.0,489.4208119333921
109,26.0,504.4931864801562
1090,26.0,476.59429365108247
1091,26.0,476.600191513081
1092,26.0,476.6480680090219
1093,26.0,476.9580605354799
1094,26.0,477.7026353486483
1095,26.0,477.64211943208267
1096,26.0,477.6151631459999
1097,26.0,439.8822236899548
1097,26.0,477.2554605000693
1098,26.0,476.70524470228844
1099,26.0,477.6394637827816
11,27.0,576.8816103184179
110,27.0,576.6305493174565
1100,26.0,469.51962829776744
1101,26.0,476.58423665267105
1102,26.0,490.4304075868402
1103,26.0,476.7491101438554
1104,26.0,476.7059634667448
1105,26.0,476.97744214538443
1106,26.0,476.59412173449243
1107,26.0,476.67192760195314
1108,26.0,508.91829612412033
1109,27.0,523.6641445966636
111,27.0,466.85233433289676
1110,27.0,465.65936955687135
1111,26.0,474.1733483743086
1112,25.0,471.1331552595525
1113,26.0,491.28244181108187
1114,26.0,476.94448774803766
1115,26.0,476.69833241778525
1116,26.0,476.56031136300624
1117,27.0,462.77849781905275
1118,27.0,463.69991367021447
1119,27.0,513.8676439538901
112,26.0,470.62622492083284
1120,26.0,469.76778675946707
1121,26.0,461.8743685306532
1122,26.0,467.55713990332396
1123,26.0,470.7801034801056
1124,26.0,476.86316288892317
1125,26.0,476.79956968756585
1126,26.0,476.77252947643717
1127,26.0,450.1973916106655
1128,26.0,476.97576699525587
1129,26.0,476.7476237801766
113,26.0,477.54333411830714
1130,26.0,460.04985495797774
1131,26.0,477.5410474601759
1132,26.0,483.05731191499206
1133,26.0,478.0139695709738
1134,26.0,476.8945712455085
1135,26.0,478.5964081675188
1136,26.0,479.5557572817517
1137,26.0,477.43735275341083
1138,26.0,399.5363270242789
1139,26.0,471.61209353409276
114,26.0,481.34181029976173
1140,26.0,477.51165317851604
1141,26.0,498.4201778267019
1142,26.0,498.41917685209705
1143,26.0,473.82604768438887
1144,26.0,469.12816840710695
1145,26.0,478.07840922870133
1146,29.0,1361.9332260356
1147,26.0,481.7618936632073
1148,26.0,481.5956579258612
1149,26.0,481.7618936630095
115,26.0,481.3297155482759
1150,30.0,1407.6804660678868
1151,30.0,1405.6739927992417
1152,26.0,476.7193871983222
1153,25.0,473.84952970911894
1154,26.0,478.0481135760631
1155,26.0,474.5398574141774
1156,26.0,451.80029466451117
1157,26.0,466.71052486810186
1158,26.0,435.76644686835743
1159,26.0,479.51404420185065
116,27.0,512.0843548263831
1160,26.0,477.47338212527285
1161,26.0,477.15710641204333
1162,26.0,485.45499028639915
1163,26.0,485.9803885000062
1164,27.0,469.6133121190251
1165,27.0,467.8310269102205
1166,26.0,458.25414600333517
1167,26.0,476.7818651238205
1168,26.0,476.77665047350143
1169,26.0,479.1935328794943
117,26.0,482.58336597748723
1170,26.0,484.13539493484893
1171,27.0,487.34790441734003
1172,26.0,462.29320203967035
1173,27.0,554.7366186181985
1174,27.0,547.7503971364798
1175,36.0,2263.5025654650162
1176,26.0,478.8115392074963
1177,26.0,492.2560883148274
1178,26.0,477.4010557241277
1179,26.0,496.2218137114086
118,26.0,479.6133150867256
1180,34.0,1786.8544319266566
1181,26.0,480.6498028717001
1182,26.0,491.2636447747675
1183,26.0,477.3191530731579
1184,26.0,494.57913218637367
1185,26.0,477.5013655813924
1186,34.0,1819.845941551481
1187,28.0,777.3919357785313
1188,26.0,470.0236393658314
1189,26.0,472.6715405323861
119,26.0,477.69176029385
1190,26.0,476.58232678588263
1191,26.0,439.47073008652717
1192,24.0,481.45577106240614
1193,26.0,477.21907204775067
1194,26.0,465.2530395642135
1195,26.0,466.19107437117486
1196,26.0,454.88581618658856
1197,26.0,482.3604311528237
1198,26.0,447.22892637569237
1199,26.0,477.0807563257006
12,26.0,476.6918826786329
120,26.0,447.2578646069525
1200,26.0,450.37821448978934
1201,26.0,475.75057718640016
1202,26.0,476.5105690172761
1203,26.0,482.91852070594206
1204,26.0,442.63343391442976
1205,27.0,523.1716437705221
1206,27.0,416.3818109382541
1207,26.0,484.45299379900644
1208,28.0,563.635874965053
1209,26.0,478.5195675191306
121,26.0,503.01189814949134
1210,28.0,558.2698737402648
1211,26.0,478.51895439757425
1212,26.0,485.547246977652
1213,26.0,452.83879764105393
1214,26.0,454.2791002893648
1215,26.0,478.48705456967764
1216,26.0,481.48609652253697
1217,26.0,477.23984476775087
1218,26.0,479.8650284315762
1219,26.0,476.9852969335178
122,26.0,476.9511753333649
1220,26.0,476.8584038495401
1221,26.0,476.7783723812084
1222,26.0,432.92353708606333
1223,26.0,476.59632914513435
1224,26.0,476.67733668029564
1225,26.0,476.8369312521405
1226,27.0,581.3016002844938
1227,26.0,476.67708549028134
1228,27.0,581.3317606825931
1229,26.0,478.63573416469444
123,26.0,478.8765312783074
1230,26.0,476.6545380390928
1231,26.0,478.6605213262351
1232,26.0,479.1027710633806
1233,28.0,775.9584921148571
1234,26.0,485.66736914975877
1235,26.0,476.74034827451885
1236,27.0,488.04680178793285
1237,28.0,488.38795114715435
1238,27.0,488.3121185530583
1239,27.0,488.29954454293403
124,27.0,487.76071774202023
1240,26.0,477.71279522484275
1241,26.0,476.72598955500166
1242,27.0,488.55861493998304
1243,26.0,477.85504979217194
1244,29.0,1329.1895452835654
1245,29.0,1371.3306746048277
1246,30.0,1377.2888944710933
1247,29.0,1326.2555769361295
1248,26.0,462.51369495344983
1249,26.0,488.41237546128644
125,26.0,483.6963002493849
1250,28.0,736.2396290748252
1251,26.0,487.74212376171056
1252,26.0,478.25380887478406
1253,26.0,477.7719425907785
1254,26.0,476.8847186715491
1255,27.0,455.9180982951686
1256,27.0,519.9021152754832
1257,26.0,478.0044791088246
1258,26.0,476.5919721379989
1259,28.0,612.6851783103414
126,26.0,476.89401415405246
1260,26.0,478.68267676539966
1261,26.0,477.7093539984125
1262,26.0,477.1244453923869
1263,26.0,472.15055588709356
1264,26.0,485.19890510702044
1265,28.0,474.85413381616297
1266,26.0,477.1258254162309
1267,26.0,475.25683545198297
1268,27.0,491.5762585841909
1269,26.0,479.2426383871737
127,26.0,478.81237007658973
1270,27.0,491.64439182390424
1271,26.0,463.2596708215361
1272,26.0,461.54760497342727
1273,26.0,478.2089930435948
1274,26.0,476.85965999957307
1275,26.0,476.5917599395254
1276,26.0,476.5913897558323
1277,26.0,456.537234332621
1278,26.0,460.0359990803189
1279,24.0,465.05969010463264
128,24.0,458.9244230316412
1280,26.0,463.2253922195856
1281,28.0,481.93057452228607
1282,26.0,477.90110578380103
1283,26.0,481.52491381771574
1284,27.0,477.39401186682113
1285,26.0,475.4574000831827
1286,28.0,477.43270871715526
1287,27.0,493.4382359128466
1288,27.0,585.0585030923013
1289,26.0,476.63619324486143
129,27.0,574.072702832583
1290,26.0,476.61796677730496
1291,27.0,496.5430580386822
1292,27.0,487.66411019808265
1293,26.0,485.0384386760886
1294,27.0,487.6541519942691
1295,26.0,484.55432989557886
1296,26.0,484.54723203902324
1297,26.0,462.6802665425492
1298,26.0,477.5125347819436
1299,26.0,477.76773672713335
13,26.0,476.57945686659446
130,26.0,476.56267192562814
1300,26.0,476.56267192562814
1301,26.0,480.0822276593622
1302,26.0,447.8719898222834
1303,26.0,477.09741073043546
1304,26.0,498.9549879237022
1305,26.0,459.47585037465285
1306,26.0,476.9322889914073
1307,26.0,476.62979109464453
1308,26.0,477.448094346109
1309,26.0,479.04672975882784
131,26.0,464.1575687882097
1310,26.0,478.95021768157306
1311,26.0,476.6458405624281
1312,26.0,476.6125919233245
1313,27.0,487.91328154231815
1314,28.0,510.0945287341514
1315,26.0,500.3130513083927
1316,26.0,467.73331881907063
1317,26.0,480.8981641956199
1318,26.0,459.3089276318178
1319,26.0,450.1489372888551
132,26.0,476.7751273652047
1320,26.0,476.5253184680277
1321,26.0,476.65295049263256
1322,29.0,1232.9707339603883
1323,29.0,1236.9881446866295
1324,29.0,1209.4261604804499
1325,29.0,1201.5160622667827
1326,26.0,457.0163316444119
1327,26.0,477.3370216640658
1328,26.0,477.3850294623701
1329,26.0,433.15146122555984
133,27.0,729.5405527984649
1330,27.0,730.1743573605335
1331,26.0,478.8891968778349
1332,27.0,511.06915756009863
1333,27.0,511.06915756009863
1334,27.0,500.7463906269978
1335,26.0,442.6057528320513
1336,26.0,477.5272621837394
1337,26.0,481.02416594593313
1338,26.0,484.72949868757297
1339,26.0,478.28090404337377
134,27.0,484.3432364444476
1340,26.0,477.38100980403556
1341,26.0,475.9392244335937
1342,26.0,477.5015357951013
1343,26.0,477.23317801589985
1344,26.0,476.70567482884985
1345,26.0,476.81054679617637
1346,26.0,478.36218646603214
1347,26.0,476.9308016227536
1348,26.0,477.33493378896344
1349,26.0,477.36549215155935
135,26.0,474.23675403518735
1350,26.0,479.7587953730555
1351,26.0,477.1653248668721
1352,26.0,478.00758389758073
1353,26.0,477.03403159539073
1354,26.0,478.32057583238645
1355,26.0,477.0278171415452
1356,26.0,478.3141779931494
1357,27.0,484.94870984850235
1358,27.0,484.9502337595859
1359,26.0,476.71117604022385
136,26.0,451.654679684397
1360,26.0,482.42626894082304
1361,26.0,480.75418683898005
1362,26.0,477.0625654107862
1363,27.0,482.96679305083495
1364,26.0,476.57401845139765
1365,26.0,469.76709154374817
1366,26.0,476.7879455235609
1367,26.0,447.1271936845237
1368,26.0,455.7700226206743
1369,26.0,534.9006139496746
137,26.0,523.8628364616548
1370,26.0,476.4792178611229
1371,26.0,495.3810113244855
1372,26.0,491.0166183526873
1373,26.0,474.87323766369366
1374,27.0,527.6720415416753
1375,28.0,555.7617678844158
1376,26.0,529.4809654183025
1377,27.0,534.3542936525881
1378,27.0,534.7358473683681
1379,25.0,397.6118687381351
138,N/A,N/A
1380,26.0,496.6409443383578
1381,26.0,476.54257717561177
1382,27.0,458.93533602889806
1383,27.0,472.8623194146903
1384,26.0,476.6145910268125
1385,26.0,476.6349309562609
1386,26.0,468.07156078824255
1387,26.0,469.7760491108969
1388,26.0,475.1671522929893
1389,26.0,495.44652533264417
139,N/A,N/A
1390,26.0,480.42130900298895
1391,26.0,480.19093208085906
1392,N/A,N/A
1393,26.0,477.6155486206035
1394,26.0,477.6784634576866
1395,N/A,N/A
1396,N/A,N/A
1397,26.0,477.1059152339102
1398,26.0,486.257990080004
1399,26.0,481.44575673171033
14,26.0,420.3217360614217
140,26.0,451.0333567389799
1400,26.0,472.63665768305145
1401,26.0,475.79897731883045
1402,26.0,475.43043264581496
1403,26.0,474.7652025771511
1404,26.0,476.85521893495223
1405,26.0,479.25492762353116
1406,26.0,476.94452172421575
1407,26.0,481.3093062793795
1408,26.0,447.3262448404784
1409,26.0,481.8231420426877
141,26.0,459.9674610858783
1410,26.0,424.57844947190085
1411,26.0,444.76134399874513
1412,26.0,479.4621626192222
1413,N/A,N/A
1414,26.0,457.2259724150258
1415,38.0,2250.39974945654
1416,38.0,2271.399489532558
1417,26.0,449.1727914174554
1418,26.0,418.4442247895943
1419,26.0,477.25859133910564
142,26.0,476.70632841752314
1420,26.0,476.74618648318005
1421,26.0,477.46215548176116
1422,26.0,482.2512702789176
1423,26.0,484.56703829304956
1424,26.0,482.2625790563407
1425,26.0,484.5822117122331
1426,26.0,482.8013408398611
1427,26.0,478.51202930679614
1428,26.0,477.10020624270754
1429,26.0,476.4678878021979
143,26.0,478.98658690581925
1430,26.0,476.3736621985993
1431,26.0,476.6752687649911
1432,26.0,478.7783096173838
1433,26.0,478.4732146979402
1434,26.0,478.61812619511363
1435,26.0,487.69275600270015
1436,26.0,476.450054119975
1437,26.0,486.77557355433737
1438,26.0,476.43670180947436
1439,26.0,476.84428204398046
144,26.0,476.84428204398046
1440,26.0,477.55968194493096
1441,26.0,479.2876428593423
1442,26.0,474.85620805268036
1443,27.0,535.5647321078444
1444,27.0,480.24627118871194
1445,28.0,520.8602993548602
1446,26.0,476.8949565005262
1447,29.0,515.2730752765306
1448,26.0,476.95010585586687
1449,27.0,481.0275531025492
145,28.0,520.8390929380472
1450,26.0,477.4113246909803
1451,29.0,515.2902552304863
1452,25.0,477.52063309982066
1453,25.0,477.49246051709434
1454,26.0,476.9565156416281
1455,26.0,477.6919331510113
1456,26.0,477.3273526619223
1457,26.0,477.7065781456314
1458,26.0,480.9357318683846
1459,26.0,480.9813837830697
146,26.0,476.8367555903416
1460,26.0,477.00302316033475
1461,N/A,N/A
1462,26.0,475.9332055571459
1463,26.0,475.9332055571459
1464,26.0,477.7288583010062
1465,26.0,478.0098507295053
1466,25.0,476.89293500946513
1467,26.0,481.345909457008
1468,26.0,478.0098507300774
1469,25.0,476.8914352651823
147,26.0,444.1930322904409
1470,26.0,465.1752277008243
1471,26.0,476.9745229428669
1472,26.0,427.4808591260297
1473,26.0,463.76153432515537
1474,26.0,476.90226069920794
1475,26.0,477.6351064027834
1476,28.0,579.2587168718758
1477,28.0,543.2163376360297
1478,26.0,478.71022956714654
1479,27.0,500.67440714218895
148,28.0,574.4641707801846
1480,26.0,478.672936348484
1481,26.0,476.5622366618444
1482,26.0,479.21078338924156
1483,26.0,434.6550259412535
1484,26.0,460.49271916004375
1485,26.0,478.70135111142383
1486,26.0,465.92444935871777
1487,26.0,464.68021644833044
1488,26.0,476.8307196949899
1489,26.0,476.71765908149473
149,26.0,476.6280286211994
1490,26.0,463.3469415375673
1491,26.0,477.87040245657954
1492,26.0,481.38639379631826
1493,26.0,476.8282638197021
1494,26.0,475.58504568532555
1495,26.0,476.82567948214574
1496,26.0,475.6358345828935
1497,26.0,481.3574962784603
1498,26.0,481.35782519085416
1499,26.0,476.0986044287762
15,26.0,478.04622240090185
150,26.0,473.9719281304872
1500,26.0,489.6569380852461
1501,26.0,479.5083184531304
1502,26.0,485.5092969019729
1503,26.0,476.10448674183334
1504,26.0,478.05052809086027
1505,26.0,506.2505428512703
1506,26.0,480.0577667690179
1507,26.0,486.2713817241384
1508,26.0,486.33829649065456
1509,26.0,478.8209200543711
151,26.0,486.4855117032491
1510,26.0,476.8309840488629
1511,26.0,478.39829986844614
1512,26.0,476.6364610733433
1513,26.0,477.3040885656345
1514,26.0,480.2723958530014
1515,26.0,478.0679349620923
1516,26.0,480.01057149071374
1517,26.0,480.20768438270954
1518,26.0,478.0641730893206
1519,26.0,480.01139991511
152,26.0,446.4795099957621
1520,26.0,476.840946474704
1521,26.0,466.24253765271726
1522,26.0,451.5627467149984
1523,26.0,476.75670822303834
1524,26.0,476.6286551512105
1525,26.0,477.10802385600186
1526,26.0,434.93987657696727
1527,26.0,476.75673519700655
1528,26.0,476.8007202714254
1529,26.0,476.6770020675005
153,28.0,541.5088233349782
1530,26.0,480.68889259640264
1531,26.0,477.8360159453067
1532,26.0,476.8113919445438
1533,26.0,476.9064165216831
1534,26.0,478.82442385680133
1535,32.0,1176.6817880169576
1536,31.0,1042.1248582145931
1537,27.0,522.0260358896813
1538,27.0,488.64625082015385
1539,26.0,476.92886739266464
154,26.0,477.2673466859248
1540,26.0,476.959214381802
1541,26.0,493.3327720874471
1542,26.0,477.6453314763888
1543,26.0,493.3429906891673
1544,26.0,477.63714985180525
1545,26.0,477.44803845184765
1546,27.0,426.92456908957104
1547,N/A,N/A
1548,N/A,N/A
1549,26.0,477.44478886516265
155,26.0,477.7085826904423
1550,26.0,476.8685128446089
1551,26.0,483.7880931053229
1552,26.0,476.956597594164
