index_number,failures,total_excess_load
1141,26.0,498.4201778267019
1142,26.0,498.41917685209705
1143,26.0,473.82604768438887
1144,26.0,469.12816840710695
1145,26.0,478.07840922870133
1146,29.0,1361.9332260356
1147,26.0,481.7618936632073
1148,26.0,481.5956579258612
1149,26.0,481.7618936630095
115,26.0,481.3297155482759
1150,30.0,1407.6804660678868
1151,30.0,1405.6739927992417
1152,26.0,476.7193871983222
1153,25.0,473.84952970911894
1154,26.0,478.0481135760631
1155,26.0,474.5398574141774
1156,26.0,451.80029466451117
1157,26.0,466.71052486810186
1158,26.0,435.76644686835743
1159,26.0,479.51404420185065
